,business_id,stars,RestaurantsAttire,RestaurantsGoodForGroups,DriveThru,OutdoorSeating,RestaurantsTableService,WheelchairAccessible,Smoking,ByAppointmentOnly,HappyHour,BusinessAcceptsCreditCards,BYOBCorkage,AcceptsInsurance,HasTV,BikeParking,Corkage,DogsAllowed,GoodForKids,RestaurantsTakeOut,BusinessAcceptsBitcoin,RestaurantsPriceRange2,WiFi,RestaurantsReservations,RestaurantsDelivery,NoiseLevel,Caters,CoatCheck,BYOB,AgesAllowed,Alcohol,GoodForDancing,wednesday,hipster,halal,saturday,live,brunch,no_music,soy-free,trendy,dairy-free,garage,kosher,latenight,thursday,gluten-free,intimate,classy,lot,dj,valet,karaoke,background_music,sunday,divey,romantic,breakfast,vegetarian,touristy,monday,validated,dinner,vegan,upscale,street,friday,casual,dessert,lunch,jukebox,video,tuesday
0,QXAEGFB4oINsVuTFxEYKFQ,2.5,casual,True,,False,True,,,,,,,,False,False,,,True,True,,2,no,True,False,loud,True,,,,full_bar,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
1,e_EMySqP0uwlVZfd8mRaaQ,2.0,casual,True,,False,,,,,,,,,,,,,True,True,,1,,,False,,,,,,,,,,,,,,,,,,False,,,,,,,False,,False,,,,,,,,,,False,,,,False,,,,,,,
2,44YFU284Z3KDEy25QyVoUw,3.5,casual,True,,False,True,,,,,True,,,False,True,,,True,True,,2,no,True,False,average,True,,,,beer_and_wine,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
3,MhnihE0alud0ereVInSt8Q,3.0,casual,False,,False,,,,,,True,,,True,True,,,True,True,,1,no,False,True,average,True,,,,none,,,False,,,,,,,False,,False,,,,,False,False,True,,False,,,,True,False,,,False,,False,,,False,False,,False,,,,,
4,Sd75ucXKoZUM2BEfBHFUOg,3.0,casual,True,,False,,,,,,True,,,,False,,,True,True,,1,no,False,True,quiet,,,,,,,,,,,,,,,,,False,,,,,,,False,,False,,,,,,,,,,False,,,,False,,,,,,,
5,iyPtSR0s6EkvaQFbdJ_jVA,2.5,casual,True,,True,True,True,,,,,,,True,True,,,True,True,,2,free,True,False,average,True,,,,full_bar,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,False,,False,True,,True,False,False,,,
6,_72dMXdWbVAgwB-Bxwz-mw,3.5,casual,True,,,,,,,,,,,,,,,True,True,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5GXKxdlJQOrmoPe0GXzJNA,2.5,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,jX9DocoiY4Bo9EUkaTSqvg,4.5,casual,True,,False,True,True,,,,True,,,True,False,,False,True,True,False,2,free,False,False,average,True,,,,none,,,True,,,,False,,,True,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
9,mofOjB6flg-eAWOFbOkHfQ,2.5,casual,True,,False,,,,,,True,,,False,False,,,True,True,,2,no,False,False,average,False,,,,full_bar,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,False,,,
10,QZ4GFIArBMGolsVi0XHgcA,3.5,casual,True,False,False,True,,,,,False,,,False,True,,,True,True,,1,no,False,False,loud,True,,,,none,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,,False,True,,False,,False,False,,False,False,,True,False,True,,,
11,j9YFHVQqxM_qKHIc4nck-A,4.0,casual,True,,False,True,,,,,,,,False,True,,,True,True,,1,no,True,True,quiet,True,,,,full_bar,,,False,,,,False,,,False,,False,,False,,,False,False,False,,False,,,,,False,False,,False,,False,False,,False,False,,False,False,False,,,
12,m4DwPVxmFDQE_FnGIOa3cQ,3.5,casual,True,,False,,,,,,True,,,True,True,,,True,True,,1,no,False,False,average,False,,,,none,,,False,,,,,,,False,,False,,,,,False,False,True,,False,,,,False,False,,,False,,False,,,False,False,,False,,,,,
13,SZ5KO1KNiwtrktKo5mpuLA,3.5,dressy,True,,True,,,,,,True,,,False,False,,,True,True,,3,,True,False,quiet,,,,,full_bar,,,False,,,,,,,False,,False,,,,,False,False,False,,False,,,,False,False,,,False,,False,,,False,False,,False,,,,,
14,VxnZy3cU-ItbYiDK5XDX8g,2.0,casual,,,,,,,,,,,,,,,,True,True,,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,yuhnMOLGmXHhQxyp1V_rBw,3.5,casual,True,,False,True,,,,,True,,,True,True,,,True,True,,2,free,False,False,average,False,,,,full_bar,,,False,,,,False,,,False,,False,,False,,,False,False,False,,False,,,,False,False,False,,False,,False,False,,False,False,,True,False,True,,,
16,cmsAFAymfVoBitSF8R6GKw,4.0,casual,True,,False,,,,,,True,,,True,True,,,True,True,,1,no,False,False,average,True,,,,beer_and_wine,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
17,F06m2yQSPHIrb1IT7heYeQ,4.0,casual,True,,False,True,,,,,True,,,True,True,,,True,True,,2,free,True,False,average,True,,,,beer_and_wine,,,False,,,,False,,,False,,False,,True,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
18,M9N2eaO8PkT7MHGLLA6V3Q,2.0,,,,,,,,,,,,,,,,,,True,,1,,,,,,,,,none,,,,,,,,,,,,False,,,,,,,False,,False,,,,,,,,,,False,,,,False,,,,,,,
19,X3s0BN02lS6EigSnJaSyDw,3.5,casual,True,,False,,,,,,True,,,,,,,True,True,,1,,,False,,,,,,none,,,,,,,,,,,,False,,,,,,,False,,False,,,,,,,,,,False,,,,False,,,,,,,
20,oWEFIvvt_kJCuk2V268XeQ,3.0,casual,True,,False,,,,,,True,,,False,False,,,True,True,,2,no,True,True,average,True,,,,full_bar,,,False,,,,True,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,False,,,
21,tK-PQOhZo94fonbQVXaOSg,4.0,casual,True,,False,True,True,,,,True,,,True,True,,,True,True,,1,no,False,True,quiet,False,,,,none,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
22,dvbcUnKv2awsIxog7dO4vw,4.0,casual,True,,False,,,,,,,,,True,True,,,True,True,,1,no,False,False,average,False,,,,beer_and_wine,,,False,,,,False,,,False,,False,,False,,,False,False,False,,False,,,,False,False,False,,False,,False,False,,False,True,,True,False,True,,,
23,sQ6DZZLLJRfwUr0eDWKDDg,4.0,casual,True,,True,False,,,,,True,yes_free,,False,True,False,,True,True,,1,no,False,False,average,True,,,,none,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
24,PMsqD6wHCfxdrZkGXIepvA,3.5,casual,True,,False,,,,,,,,,False,False,,,True,True,,2,no,True,True,average,True,,,,full_bar,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
25,amuNjN2yc_0HRgbMH5UlKw,2.5,casual,False,,,,,,,,True,,,,,,,,True,,2,,,,,,,,,beer_and_wine,,,,,,,,,,,,False,,,,,,,False,,False,,,,,,,,,,False,,,,False,,,,,,,
26,Q62lGVKqoKJ09lZNt2qpfw,4.0,casual,True,,False,,,,,,,,,True,False,,,True,True,,2,no,True,False,average,True,,,,beer_and_wine,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
27,2xbxXWeu3tpZEJdGTTGbLg,3.5,casual,True,,False,True,False,,,,True,,,False,False,,,True,True,,2,no,True,False,,,,,,beer_and_wine,,,False,,,,False,,,False,,False,,False,,,False,False,False,,False,,,,False,False,False,,False,,False,False,,False,False,,False,False,False,,,
28,Ed5feP-TztmLtc4pRKDvNA,3.5,casual,True,,False,,,,,,True,,,False,,,,True,True,,1,,True,True,,,,,,full_bar,,,False,,,,,,,False,,False,,,,,False,False,True,,False,,,,False,False,,,False,,False,,,False,False,,False,,,,,
29,tEfvf1cznLZUIeTcKKpAIw,3.5,casual,True,,False,,,,,,,,,False,True,,,True,True,,2,no,False,False,average,False,,,,none,,,False,,,,,,,False,,False,,,,,False,False,True,,False,,,,False,False,,,False,,False,,,False,False,,True,,,,,
30,l1DtLtgI2hlGNMBSkk5sXg,3.0,casual,True,,False,,,,,,,,,False,True,,,True,True,,2,free,True,True,average,,,,,full_bar,,,False,,,,,,,False,,False,,,,,False,False,True,,False,,,,False,False,,,False,,False,,,False,False,,False,,,,,
31,yWwIUmeenyAO7nwc7U0U5A,3.0,casual,True,,False,True,,,,,,,,True,False,,,True,True,,1,free,False,True,average,,,,,none,,,False,,,,True,,,False,,False,,False,,,False,False,False,,False,,,,False,False,False,,False,,False,False,,False,False,,True,False,False,,,
32,xNK43KL8NRnoN9azyyrJ6A,3.5,casual,True,,False,,,,,,,,,False,False,,,True,False,,1,no,False,False,average,False,,,,none,,,False,,,,,,,False,,False,,,,,False,False,True,,False,,,,False,False,,,False,,False,,,False,False,,True,,,,,
33,mpG1R1ktTI3x1twNBsGvXQ,4.0,casual,True,,False,True,,,,,True,,,True,True,,,True,True,,2,free,True,False,average,False,,,,full_bar,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
34,bdxdcvC63LimiFGnh1-JUw,3.5,casual,True,,True,,,,,,True,,,True,,,,True,True,,1,,,False,average,,,,,full_bar,,,False,,,,,,,False,,False,,,,,False,False,False,,False,,,,False,False,,,False,,False,,,False,False,,False,,,,,
35,yDJhScdD8cCCYfO4WNb-CQ,3.0,casual,True,,True,,,,,,,,,False,True,,,False,True,,2,no,True,True,quiet,False,,,,full_bar,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,False,,,
36,YAhRuV3oRkwGk3Or9PJ3Ww,3.0,casual,True,,True,,,,,,True,,,False,,,,True,True,,2,,False,False,quiet,,,,,,,,False,,,,,,,False,,False,,,,,False,False,False,,False,,,,False,False,,,False,,False,,,False,False,,False,,,,,
37,DncR06kFZ_u2O4NlbPPE4w,3.5,casual,False,,False,True,False,,,,True,,,True,True,,False,True,True,False,2,no,False,False,average,False,,,,none,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
38,XYIPXJ9parr9FtvvcGI1SA,4.0,casual,False,,False,True,,,,,,,,False,True,,,True,True,,2,no,False,False,average,False,,,,none,,,False,,,,False,,,False,,False,,False,,,False,False,False,,False,,,,,False,False,,False,,False,True,,False,True,,True,False,True,,,
39,DVfCbJhJUDWRlUfrKzaKOA,2.0,casual,True,,False,,,,,,False,yes_free,,False,False,False,,True,True,,2,no,False,False,average,False,,False,,none,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
40,6sATfFam9_q9uod0I2aCsg,3.5,casual,True,,False,,,,,,,,,True,False,,,True,True,,2,no,True,True,average,True,,,,none,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,False,,True,False,True,,,
41,9Zhiktm7_LYN_uxaT9XEhg,3.5,casual,True,,True,,,,,,True,,,True,True,,,True,True,,1,no,False,False,quiet,False,,,,none,,,False,,,,False,,,False,,False,,False,,,False,False,True,,False,,,,False,False,False,,False,,False,True,,False,True,,False,False,True,,,
